;wheat_mass;Longitude;Latitude;wheat_mass_categorical
594;7308.9;5.586691508905115;48.77895370160451;7000-8000
595;7451.3;5.586696005515261;48.77894907914912;7000-8000
596;8377.1;5.586700322261002;48.7789445752178;8000-9000
597;9386.6;5.586704998735555;48.77894030833514;> 10000
604;8367.7;5.586732158260843;48.77890795112983;8000-9000
605;8409.9;5.5867397125658895;48.7789013137518;8000-9000
606;9528.0;5.586745288362471;48.77889503194678;> 10000
607;8482.5;5.586751763481085;48.77888815751776;8000-9000
608;8711.9;5.58675805873529;48.77888128308779;8000-9000
609;7959.6;5.586765253311525;48.77887452718156;7000-8000
610;8789.9;5.586771728430137;48.77886788979911;8000-9000
611;8352.8;5.586778383413154;48.77886089684166;8000-9000
612;8792.6;5.586784858531766;48.77885402240795;8000-9000
613;9623.5;5.586791513514783;48.77884726649805;> 10000
614;8786.9;5.5867981684978005;48.77883991796344;8000-9000
615;8874.6;5.586805542938442;48.77883185827908;8000-9000
616;9184.8;5.586812197921459;48.778823917118224;> 10000
617;8295.5;5.5868195723621;48.77881609448093;8000-9000
618;8913.6;5.586826227345118;48.77880827184242;8000-9000
619;8640.1;5.586833062192541;48.77880033067784;8000-9000
620;8747.9;5.5868400769043705;48.77879262656174;8000-9000
621;9323.5;5.58684619229417;48.77878480391958;> 10000
622;9416.2;5.586853926463624;48.77877745537582;> 10000
623;8550.7;5.586860761311047;48.77876963273128;8000-9000
624;8200.0;5.586868855209312;48.77876204713542;8000-9000
625;8866.9;5.586876409514359;48.77875481711329;8000-9000
626;8810.0;5.586884143683811;48.77874723151519;8000-9000
627;8872.2;5.586890978531235;48.778739764440935;8000-9000
628;8466.3;5.586898173107469;48.77873206031555;8000-9000
629;8493.5;5.586905727412518;48.778724474714;8000-9000
630;8912.6;5.586913281717563;48.77871724468648;8000-9000
631;8849.4;5.586920656158203;48.77870965908269;8000-9000
632;8500.4;5.58692785073444;48.7787018364276;8000-9000
633;8531.6;5.586934865446269;48.77869401377128;8000-9000
634;8806.7;5.586941700293693;48.77868607258862;8000-9000
635;9287.2;5.58694835527671;48.77867824992984;> 10000
636;9052.7;5.586955190124133;48.77867042726984;> 10000
637;8929.9;5.586962024971557;48.778662723133806;8000-9000
638;9393.9;5.586969039683385;48.7786549004714;> 10000
639;8666.1;5.586975694666404;48.77864719633298;8000-9000
640;8596.6;5.586983788564668;48.77863972924385;8000-9000
641;8615.3;5.586991163005309;48.77863202510312;8000-9000
642;9234.5;5.586998897174762;48.77862420243592;> 10000
643;9137.0;5.587006271615403;48.778616261242206;> 10000
644;9298.9;5.587013286327232;48.77860832004724;> 10000
645;8660.9;5.587020660767874;48.778600260325696;8000-9000
646;9393.0;5.587027855344108;48.77859255617889;> 10000
647;9642.7;5.58703433046272;48.77858461498019;> 10000
648;9873.5;5.587041525038955;48.778576910830985;> 10000
649;8946.7;5.587049079344002;48.778568732579;8000-9000
650;8410.1;5.58705789269989;48.77856055432567;8000-9000
651;8573.3;5.587065267140532;48.7785520204947;8000-9000
652;8468.9;5.58707318117439;48.778543605187735;8000-9000
653;8541.9;5.587080555615031;48.778535071353886;8000-9000
654;8366.4;5.587088649513295;48.77852641899309;8000-9000
655;8178.7;5.587096563547155;48.778517648105264;8000-9000
656;8719.9;5.58710501717423;48.77850946984363;8000-9000
